mapping_id,part_id,supplier_id,supplier_part_number,unit_cost_usd,lead_time_days,minimum_order_qty,preferred_supplier,contract_start,contract_end,quality_rating,delivery_rating
MAP001,PRT001,SUP015,FST-BLT-M8-20,0.25,7,1000,true,2024-01-01,2024-12-31,4.5,4.8
MAP002,PRT001,SUP001,MC-BOLT-M8-20,0.28,10,500,false,2024-01-01,2024-12-31,4.2,4.3
MAP003,PRT002,SUP015,FST-NUT-M8,0.15,7,1000,true,2024-01-01,2024-12-31,4.6,4.7
MAP004,PRT003,SUP015,FST-WSH-M8,0.05,7,2000,true,2024-01-01,2024-12-31,4.4,4.9
MAP005,PRT004,SUP001,MC-GASKET-HD,12.50,14,50,true,2024-01-01,2024-12-31,4.7,4.5
MAP006,PRT005,SUP001,MC-ORING-50,2.30,10,100,true,2024-01-01,2024-12-31,4.3,4.4
MAP007,PRT006,SUP002,PP-BEARING-6204,15.75,21,25,true,2024-01-01,2024-12-31,4.8,4.6
MAP008,PRT007,SUP014,FP-OIL-FILTER,8.90,14,50,true,2024-01-01,2024-12-31,4.5,4.7
MAP009,PRT008,SUP014,FP-AIR-FILTER,12.40,14,40,true,2024-01-01,2024-12-31,4.6,4.8
MAP010,PRT009,SUP001,MC-SPARK-PLUG,18.50,7,100,true,2024-01-01,2024-12-31,4.4,4.2
MAP011,PRT010,SUP011,EW-FUSE-15A,1.25,5,500,true,2024-01-01,2024-12-31,4.7,4.9
MAP012,PRT011,SUP011,EW-RELAY-12V,8.75,10,100,true,2024-01-01,2024-12-31,4.5,4.6
MAP013,PRT012,SUP011,EW-WIRE-14AWG,0.85,7,1000,true,2024-01-01,2024-12-31,4.3,4.4
MAP014,PRT013,SUP001,MC-HOSE-CLAMP,1.40,7,500,true,2024-01-01,2024-12-31,4.2,4.3
MAP015,PRT014,SUP001,MC-RUBBER-HOSE,3.20,14,100,true,2024-01-01,2024-12-31,4.4,4.5
MAP016,PRT015,SUP010,AC-BRACKET,6.50,10,50,true,2024-01-01,2024-12-31,4.6,4.7
MAP017,PRT006,SUP003,SF-BEARING-6204,16.25,18,30,false,2024-01-01,2024-12-31,4.1,4.0
MAP018,PRT007,SUP013,CS-OIL-FILTER,9.20,12,60,false,2024-01-01,2024-12-31,4.3,4.4
MAP019,PRT009,SUP002,PP-SPARK-PLUG,19.75,5,80,false,2024-01-01,2024-12-31,4.6,4.8
MAP020,PRT012,SUP012,CT-WIRE-14AWG,0.92,9,800,false,2024-01-01,2024-12-31,4.0,4.1

